Transmission_BW (bps),Transmission_BW (kbps),ImgHeight,ImgWidth,Datasize,Tx_true,Datasize (bits),Tx_calc,Link_Utilization
768000,768,808,1600,2414769,27.3845853,19318152,25.15384375,0.918540247
768000,768,1600,1200,2127391,23.93534892,17019128,22.16032292,0.925840814
768000,768,1600,1390,2388074,26.76108842,19104592,24.87577083,0.929550041
768000,768,1068,1600,1378276,15.77999152,11026208,14.35704167,0.90982569
768000,768,1600,1200,3020157,33.82114373,24161256,31.45996875,0.930186424
768000,768,480,640,465161,5.826371965,3721288,4.845427083,0.8316371
768000,768,480,640,441589,5.574609953,3532712,4.599885417,0.825149285
768000,768,383,640,383725,4.934097833,3069800,3.997135417,0.810104613
768000,768,333,500,374013,4.807509224,2992104,3.89596875,0.810392361
768000,768,279,640,370409,4.786301375,2963272,3.858427083,0.806139602
768000,768,420,640,415601,5.606646365,3324808,4.329177083,0.772150908
768000,768,375,500,349774,4.543604939,2798192,3.643479167,0.801891717
768000,768,375,500,221663,3.147165768,1773304,2.308989583,0.733672693
768000,768,375,500,299013,3.994184408,2392104,3.11471875,0.779813457
768000,768,375,500,310825,4.796998983,2486600,3.237760417,0.67495541
768000,768,429,640,238233,3.3061867,1905864,2.48159375,0.75059093
768000,768,639,960,991079,11.76254924,7928632,10.32373958,0.877678756
768000,768,642,960,872558,11.26123742,6980464,9.089145833,0.807117859
768000,768,726,960,796277,9.452309082,6370216,8.294552083,0.877515961
768000,768,720,960,1151338,13.29607172,9210704,11.99310417,0.902003571
768000,768,720,960,1111809,12.83079457,8894472,11.58134375,0.902620932
768000,768,639,960,1202040,13.893484,9616320,12.52125,0.901231829
768000,768,639,960,922497,10.82216947,7379976,9.60934375,0.887931369
768000,768,845,960,840644,9.889395956,6725152,8.756708333,0.885464428
768000,768,918,918,939716,10.9866321,7517728,9.788708333,0.890965334
768000,768,720,960,826374,9.725585669,6610992,8.6080625,0.885094512
768000,768,720,960,976410,11.43122091,7811280,10.1709375,0.889750761
768000,768,960,719,1226595,14.14850614,9812760,12.77703125,0.903065746
768000,768,642,960,804148,9.527585504,6433184,8.376541667,0.879188296
768000,768,960,765,906843,10.61577105,7254744,9.44628125,0.889834681
768000,768,960,960,955547,11.16695558,7644376,9.953614583,0.891345409
768000,768,686,960,896736,10.68408048,7173888,9.341,0.87429143
768000,768,548,822,1017275,12.15028142,8138200,10.59661458,0.872129148
768000,768,576,720,689807,9.495369052,5518456,7.185489583,0.756736209
768000,768,536,559,497496,6.259393361,3979968,5.18225,0.827915694
