Spec Type,CPU Load (%),datasize,imgHeight,imgWidth,T_p,,,,
1,25,1926564,1200,1600,3.050419495,,,,
1,25,826374,720,960,1.628287198,,,,
1,25,896736,686,960,1.234332521,,,,
1,25,2092639,1200,1600,3.012994851,,,,
1,25,1162591,938,1250,2.144309452,,,,
1,25,796277,726,960,1.602184011,,,,
1,25,1653536,1250,1228,2.611263141,,,,
1,25,2331418,1600,1200,3.110235457,,,,
1,25,633322,480,640,0.838904601,,,,
1,25,1554899,1595,1600,4.027645018,,,,
1,25,821168,480,640,0.848890567,,,,
1,25,2503272,1020,1600,2.70180007,,,,
1,25,2582799,1600,1280,3.491158106,,,,
1,25,1885600,1180,1600,3.033828336,,,,
1,25,349774,375,500,0.689894777,,,,
1,25,804148,642,960,1.514592376,,,,
1,25,2296687,1095,1600,2.85102522,,,,
1,25,1413641,1250,938,2.190025835,,,,
1,25,1847500,1200,1600,3.040608221,,,,
1,25,2402644,1200,1600,3.054644538,,,,
1,25,2144622,1600,1068,2.797605311,,,,
1,25,415601,420,640,1.100397808,,,,
1,25,383725,383,640,0.745432563,,,,
1,25,955547,960,960,1.854877548,,,,
1,25,1046140,576,768,0.994439531,,,,
1,25,1046484,576,768,1.305324592,,,,
1,25,1226595,960,719,1.294043393,,,,
1,25,497496,536,559,1.080678708,,,,
1,25,370409,279,640,0.718189066,,,,
1,25,3214460,1600,1200,3.009747117,,,,
1,25,2249694,1530,1530,3.782142548,,,,
1,25,1688157,1073,1600,2.725011043,,,,
1,25,906843,960,765,1.632464522,,,,
1,25,766240,480,640,0.819824732,,,,
1,25,2485823,800,1200,1.88460403,,,,
1,25,2470642,877,1240,2.104266486,,,,
1,25,1017275,548,822,1.002307144,,,,
1,25,721296,366,770,0.790409684,,,,
1,25,840644,845,960,1.716394523,,,,
1,25,1593233,903,1600,2.556848508,,,,
1,25,238233,429,640,0.774329333,,,,
1,25,922497,639,960,1.501202163,,,,
1,25,2388074,1600,1390,3.434739538,,,,
1,25,2165827,1200,1600,3.059839355,,,,
1,25,976410,720,960,1.594158815,,,,
1,25,861161,533,800,0.955124947,,,,
1,25,2053451,1600,1070,2.803383776,,,,
1,25,465161,480,640,1.14459226,,,,
1,25,872558,642,960,1.176747542,,,,
1,25,2414769,808,1600,2.288841699,,,,
1,25,2111250,1600,1068,2.784601931,,,,
1,25,2559360,960,1280,2.210188822,,,,
1,25,3118173,960,1280,2.232859031,,,,
1,25,2188564,960,1280,2.235656284,,,,
1,25,1426464,1600,1070,2.738992866,,,,
1,25,339513,387,462,0.671285281,,,,
1,25,2676486,1600,1065,2.796627974,,,,
1,25,1245145,1600,1600,4.005873029,,,,
1,25,1111809,720,960,1.401036193,,,,
1,25,2519906,960,1280,2.065459288,,,,
1,25,1956028,1200,1600,3.298143074,,,,
1,25,2215286,1050,1600,2.839304978,,,,
1,25,2033663,1200,1600,3.058362558,,,,
1,25,1517519,898,1600,2.43350189,,,,
1,25,3020157,1600,1200,3.082758481,,,,
1,25,991079,639,960,1.518207712,,,,
1,25,689807,576,720,0.936369968,,,,
1,25,441589,480,640,0.850319193,,,,
1,25,1469480,1065,1600,2.951696623,,,,
1,25,1052068,576,768,1.066120214,,,,
1,25,1901959,898,1600,2.554729945,,,,
1,25,1629932,619,1100,1.224607632,,,,
1,25,1828266,1068,1600,2.75811681,,,,
1,25,135021,351,309,0.91113206,,,,
1,25,1378276,1068,1600,2.805606452,,,,
1,25,3442989,960,1280,1.90760591,,,,
1,25,2746640,1065,1600,2.977397653,,,,
1,25,2706112,960,1280,2.085772244,,,,
1,25,2127391,1600,1200,3.08420371,,,,
1,25,2533995,960,1280,2.247536336,,,,
1,25,1092545,465,1600,1.690673288,,,,
1,25,1710539,1500,1295,3.061638874,,,,
1,25,299013,375,500,0.679970787,,,,
1,25,2782693,1298,1600,3.64362329,,,,
1,25,1766842,1200,1600,3.003109219,,,,
1,25,310825,375,500,0.673367845,,,,
1,25,939716,918,918,1.742151858,,,,
1,25,2821410,1200,1600,3.008164737,,,,
1,50,2974053,1600,1550,5.631908117,,,,
1,50,1282401,938,1250,2.411633745,,,,
1,50,1151338,720,960,1.53629922,,,,
1,50,2071394,1210,1600,3.527350375,,,,
1,50,558718,400,620,0.861884206,,,,
1,50,2884168,1530,1530,4.035469846,,,,
1,50,1993508,1143,1600,3.226428827,,,,
1,50,374013,333,500,0.977704607,,,,
